Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Organization_GeneralInformation,Chrome 123.0.0.0,,,05-04-2024 11:25:30,05-04-2024 11:26:19,49.083s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Organization_GeneralInformation,Chrome 123.0.0.0,,,05-04-2024 11:25:30,05-04-2024 11:26:19,48.811s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,05-04-2024 11:25:31,05-04-2024 11:26:03,32.413s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 11:26:03,05-04-2024 11:26:06,3.017s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,05-04-2024 11:26:06,05-04-2024 11:26:09,2.565s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Organization/tab_organization""))",Chrome 123.0.0.0,,,05-04-2024 11:26:09,05-04-2024 11:26:11,2.854s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Organization/select_generalInformation""))",Chrome 123.0.0.0,,,05-04-2024 11:26:11,05-04-2024 11:26:14,2.974s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""General Information"")",Chrome 123.0.0.0,,,05-04-2024 11:26:14,05-04-2024 11:26:16,1.530s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 11:26:16,05-04-2024 11:26:19,3.019s,PASSED
