Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Job_WorkShifts,Chrome 123.0.0.0,,,13-04-2024 18:44:10,13-04-2024 18:45:37,1m - 27.136s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Job_WorkShifts,Chrome 123.0.0.0,,,13-04-2024 18:44:11,13-04-2024 18:45:37,1m - 26.257s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,13-04-2024 18:44:13,13-04-2024 18:45:21,1m - 8.477s,PASSED
delay(3),Chrome 123.0.0.0,,,13-04-2024 18:45:21,13-04-2024 18:45:24,3.020s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,13-04-2024 18:45:24,13-04-2024 18:45:27,2.715s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/tab_job""))",Chrome 123.0.0.0,,,13-04-2024 18:45:27,13-04-2024 18:45:31,3.829s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/select_workShifts""))",Chrome 123.0.0.0,,,13-04-2024 18:45:31,13-04-2024 18:45:33,2.105s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Work Shifts"")",Chrome 123.0.0.0,,,13-04-2024 18:45:33,13-04-2024 18:45:34,1.509s,PASSED
delay(3),Chrome 123.0.0.0,,,13-04-2024 18:45:34,13-04-2024 18:45:37,3.006s,PASSED
