Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Organization_GeneralInformation,Chrome 123.0.0.0,,,05-04-2024 13:27:27,05-04-2024 13:28:25,57.922s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Organization_GeneralInformation,Chrome 123.0.0.0,,,05-04-2024 13:27:28,05-04-2024 13:28:25,57.650s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,05-04-2024 13:27:28,05-04-2024 13:28:10,42.048s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 13:28:10,05-04-2024 13:28:13,3.013s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,05-04-2024 13:28:13,05-04-2024 13:28:16,2.361s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Organization/tab_organization""))",Chrome 123.0.0.0,,,05-04-2024 13:28:16,05-04-2024 13:28:18,2.467s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Organization/select_generalInformation""))",Chrome 123.0.0.0,,,05-04-2024 13:28:18,05-04-2024 13:28:20,2.247s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""General Information"")",Chrome 123.0.0.0,,,05-04-2024 13:28:20,05-04-2024 13:28:22,2.030s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 13:28:22,05-04-2024 13:28:25,3.012s,PASSED
