Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Job_WorkShifts,Chrome 123.0.0.0,,,04-04-2024 16:09:16,04-04-2024 16:10:01,44.422s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Job_WorkShifts,Chrome 123.0.0.0,,,04-04-2024 16:09:16,04-04-2024 16:10:01,44.218s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,04-04-2024 16:09:17,04-04-2024 16:09:47,29.960s,PASSED
delay(3),Chrome 123.0.0.0,,,04-04-2024 16:09:47,04-04-2024 16:09:50,3.015s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,04-04-2024 16:09:50,04-04-2024 16:09:52,2.213s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/tab_job""))",Chrome 123.0.0.0,,,04-04-2024 16:09:52,04-04-2024 16:09:54,2.388s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/select_workShifts""))",Chrome 123.0.0.0,,,04-04-2024 16:09:54,04-04-2024 16:09:56,2.009s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Work Shifts"")",Chrome 123.0.0.0,,,04-04-2024 16:09:56,04-04-2024 16:09:58,1.290s,PASSED
delay(3),Chrome 123.0.0.0,,,04-04-2024 16:09:58,04-04-2024 16:10:01,3.013s,PASSED
