Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Qualifications_Licenses,Chrome 123.0.0.0,,,05-04-2024 10:26:55,05-04-2024 10:27:39,44.428s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Qualifications_Licenses,Chrome 123.0.0.0,,,05-04-2024 10:26:55,05-04-2024 10:27:39,44.203s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,05-04-2024 10:26:55,05-04-2024 10:27:26,30.398s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 10:27:26,05-04-2024 10:27:29,3.014s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,05-04-2024 10:27:29,05-04-2024 10:27:31,2.242s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Qualifications/tab_qualifications""))",Chrome 123.0.0.0,,,05-04-2024 10:27:31,05-04-2024 10:27:33,1.938s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Qualifications/select_licenses""))",Chrome 123.0.0.0,,,05-04-2024 10:27:33,05-04-2024 10:27:35,2.015s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Licenses"")",Chrome 123.0.0.0,,,05-04-2024 10:27:35,05-04-2024 10:27:36,1.188s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 10:27:36,05-04-2024 10:27:39,3.013s,PASSED
