Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Job_PayGrades,Chrome 123.0.0.0,,,04-04-2024 16:05:38,04-04-2024 16:06:23,45.065s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Job_PayGrades,Chrome 123.0.0.0,,,04-04-2024 16:05:38,04-04-2024 16:06:23,44.858s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,04-04-2024 16:05:38,04-04-2024 16:06:08,30.014s,PASSED
delay(3),Chrome 123.0.0.0,,,04-04-2024 16:06:08,04-04-2024 16:06:11,3.006s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,04-04-2024 16:06:11,04-04-2024 16:06:14,2.310s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/tab_job""))",Chrome 123.0.0.0,,,04-04-2024 16:06:14,04-04-2024 16:06:17,2.801s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/select_payGrades""))",Chrome 123.0.0.0,,,04-04-2024 16:06:17,04-04-2024 16:06:19,2.047s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Pay Grades"")",Chrome 123.0.0.0,,,04-04-2024 16:06:19,04-04-2024 16:06:20,1.361s,PASSED
delay(3),Chrome 123.0.0.0,,,04-04-2024 16:06:20,04-04-2024 16:06:23,3.010s,PASSED
