Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_UserManagement,Chrome 123.0.0.0,,,05-04-2024 13:20:34,05-04-2024 13:21:28,54.809s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Admin_User,Chrome 123.0.0.0,,,05-04-2024 13:20:34,05-04-2024 13:21:28,54.587s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,05-04-2024 13:20:34,05-04-2024 13:21:12,38.077s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 13:21:12,05-04-2024 13:21:15,3.020s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,05-04-2024 13:21:15,05-04-2024 13:21:18,2.406s,PASSED
"click(findTestObject(""F_Menu_Admin/F_UserManagement/tab_userManagement""))",Chrome 123.0.0.0,,,05-04-2024 13:21:18,05-04-2024 13:21:20,2.642s,PASSED
"click(findTestObject(""F_Menu_Admin/F_UserManagement/select_users""))",Chrome 123.0.0.0,,,05-04-2024 13:21:20,05-04-2024 13:21:24,3.537s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menuWithFilter""), ""System Users"")",Chrome 123.0.0.0,,,05-04-2024 13:21:24,05-04-2024 13:21:25,1.500s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 13:21:25,05-04-2024 13:21:28,3.017s,PASSED
