Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Job_JobCategories,Chrome 123.0.0.0,,,15-04-2024 13:56:17,15-04-2024 13:58:22,2m - 4.133s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Job_JobCategories,Chrome 123.0.0.0,,,15-04-2024 13:56:18,15-04-2024 13:58:22,2m - 3.518s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,15-04-2024 13:56:22,15-04-2024 13:57:56,1m - 34.395s,PASSED
delay(3),Chrome 123.0.0.0,,,15-04-2024 13:57:56,15-04-2024 13:57:59,3.016s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,15-04-2024 13:57:59,15-04-2024 13:58:02,3.049s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/tab_job""))",Chrome 123.0.0.0,,,15-04-2024 13:58:02,15-04-2024 13:58:14,11.977s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/select_jobCategories""))",Chrome 123.0.0.0,,,15-04-2024 13:58:14,15-04-2024 13:58:17,2.511s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Job Categories"")",Chrome 123.0.0.0,,,15-04-2024 13:58:17,15-04-2024 13:58:19,2.052s,PASSED
delay(3),Chrome 123.0.0.0,,,15-04-2024 13:58:19,15-04-2024 13:58:22,3.005s,PASSED
