Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Qualifications_Memberships,Chrome 123.0.0.0,,,15-04-2024 09:38:09,15-04-2024 09:39:17,1m - 8.218s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Qualification_Memberships,Chrome 123.0.0.0,,,15-04-2024 09:38:10,15-04-2024 09:39:17,1m - 7.710s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,15-04-2024 09:38:11,15-04-2024 09:39:03,52.659s,PASSED
delay(3),Chrome 123.0.0.0,,,15-04-2024 09:39:03,15-04-2024 09:39:06,3.014s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,15-04-2024 09:39:06,15-04-2024 09:39:09,2.438s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Qualifications/tab_qualifications""))",Chrome 123.0.0.0,,,15-04-2024 09:39:09,15-04-2024 09:39:11,2.438s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Qualifications/select_memberships""))",Chrome 123.0.0.0,,,15-04-2024 09:39:11,15-04-2024 09:39:13,2.016s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Memberships"")",Chrome 123.0.0.0,,,15-04-2024 09:39:13,15-04-2024 09:39:14,1.371s,PASSED
delay(3),Chrome 123.0.0.0,,,15-04-2024 09:39:14,15-04-2024 09:39:17,3.015s,PASSED
