Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Nationalities,Chrome 123.0.0.0,,,05-04-2024 11:35:00,05-04-2024 11:35:42,42.039s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Nationalities,Chrome 123.0.0.0,,,05-04-2024 11:35:00,05-04-2024 11:35:42,41.765s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,05-04-2024 11:35:00,05-04-2024 11:35:29,28.377s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 11:35:29,05-04-2024 11:35:32,3.017s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,05-04-2024 11:35:32,05-04-2024 11:35:34,2.521s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Nationalities/tab_nationalities""))",Chrome 123.0.0.0,,,05-04-2024 11:35:34,05-04-2024 11:35:37,3.037s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Nationalities"")",Chrome 123.0.0.0,,,05-04-2024 11:35:37,05-04-2024 11:35:39,1.368s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 11:35:39,05-04-2024 11:35:42,3.024s,PASSED
