Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Organization_Structure,Chrome 123.0.0.0,,,15-04-2024 13:57:22,15-04-2024 13:58:46,1m - 24.605s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Organization_Structure,Chrome 123.0.0.0,,,15-04-2024 13:57:22,15-04-2024 13:58:46,1m - 24.331s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,15-04-2024 13:57:23,15-04-2024 13:58:29,1m - 6.007s,PASSED
delay(3),Chrome 123.0.0.0,,,15-04-2024 13:58:29,15-04-2024 13:58:32,3.022s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,15-04-2024 13:58:32,15-04-2024 13:58:35,2.912s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Organization/tab_organization""))",Chrome 123.0.0.0,,,15-04-2024 13:58:35,15-04-2024 13:58:38,3.482s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Organization/select_structure""))",Chrome 123.0.0.0,,,15-04-2024 13:58:38,15-04-2024 13:58:41,3.279s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Organization Structure"")",Chrome 123.0.0.0,,,15-04-2024 13:58:41,15-04-2024 13:58:43,2.109s,PASSED
delay(3),Chrome 123.0.0.0,,,15-04-2024 13:58:43,15-04-2024 13:58:46,3.024s,PASSED
