Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Organization_GeneralInformation,Chrome 123.0.0.0,,,05-04-2024 10:42:24,05-04-2024 10:43:06,41.949s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Organization_GeneralInformation,Chrome 123.0.0.0,,,05-04-2024 10:42:24,05-04-2024 10:43:06,41.759s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,05-04-2024 10:42:25,05-04-2024 10:42:52,26.973s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 10:42:52,05-04-2024 10:42:55,3.013s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,05-04-2024 10:42:55,05-04-2024 10:42:57,2.153s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Organization/tab_organization""))",Chrome 123.0.0.0,,,05-04-2024 10:42:57,05-04-2024 10:42:59,2.323s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Organization/select_generalInformation""))",Chrome 123.0.0.0,,,05-04-2024 10:42:59,05-04-2024 10:43:02,2.555s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""General Information"")",Chrome 123.0.0.0,,,05-04-2024 10:43:02,05-04-2024 10:43:03,1.450s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 10:43:03,05-04-2024 10:43:06,3.010s,PASSED
