Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Job_JobTitles,Chrome 123.0.0.0,,,05-04-2024 13:22:49,05-04-2024 13:23:45,56.056s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Job_JobTitles,Chrome 123.0.0.0,,,05-04-2024 13:22:50,05-04-2024 13:23:45,55.762s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,05-04-2024 13:22:50,05-04-2024 13:23:31,40.469s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 13:23:31,05-04-2024 13:23:34,3.018s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,05-04-2024 13:23:34,05-04-2024 13:23:36,2.398s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/tab_job""))",Chrome 123.0.0.0,,,05-04-2024 13:23:36,05-04-2024 13:23:39,2.778s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/select_jobTitles""))",Chrome 123.0.0.0,,,05-04-2024 13:23:39,05-04-2024 13:23:41,2.106s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Job Titles"")",Chrome 123.0.0.0,,,05-04-2024 13:23:41,05-04-2024 13:23:42,1.524s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 13:23:42,05-04-2024 13:23:45,3.011s,PASSED
