Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Qualifications_Memberships,Chrome 123.0.0.0,,,05-04-2024 13:33:07,05-04-2024 13:33:57,49.320s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Qualification_Memberships,Chrome 123.0.0.0,,,05-04-2024 13:33:08,05-04-2024 13:33:57,49.043s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,05-04-2024 13:33:08,05-04-2024 13:33:42,34.097s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 13:33:42,05-04-2024 13:33:45,3.016s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,05-04-2024 13:33:45,05-04-2024 13:33:47,2.400s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Qualifications/tab_qualifications""))",Chrome 123.0.0.0,,,05-04-2024 13:33:47,05-04-2024 13:33:50,2.481s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Qualifications/select_memberships""))",Chrome 123.0.0.0,,,05-04-2024 13:33:50,05-04-2024 13:33:52,2.125s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Memberships"")",Chrome 123.0.0.0,,,05-04-2024 13:33:52,05-04-2024 13:33:54,1.462s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 13:33:54,05-04-2024 13:33:57,3.012s,PASSED
