Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_CorporateBranding,Chrome 123.0.0.0,,,05-04-2024 11:15:58,05-04-2024 11:16:50,52.393s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_CorporateBranding,Chrome 123.0.0.0,,,05-04-2024 11:15:58,05-04-2024 11:16:50,52.146s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,05-04-2024 11:15:58,05-04-2024 11:16:37,38.642s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 11:16:37,05-04-2024 11:16:40,3.009s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,05-04-2024 11:16:40,05-04-2024 11:16:42,2.319s,PASSED
"click(findTestObject(""F_Menu_Admin/F_CorporateBranding/tab_corporateBranding""))",Chrome 123.0.0.0,,,05-04-2024 11:16:42,05-04-2024 11:16:46,3.246s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Corporate Branding"")",Chrome 123.0.0.0,,,05-04-2024 11:16:46,05-04-2024 11:16:47,1.515s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 11:16:47,05-04-2024 11:16:50,3.011s,PASSED
