Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Job_JobTitles,Chrome 123.0.0.0,,,15-04-2024 09:36:02,15-04-2024 09:37:20,1m - 18.369s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Job_JobTitles,Chrome 123.0.0.0,,,15-04-2024 09:36:03,15-04-2024 09:37:20,1m - 17.571s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,15-04-2024 09:36:04,15-04-2024 09:37:06,1m - 1.792s,PASSED
delay(3),Chrome 123.0.0.0,,,15-04-2024 09:37:06,15-04-2024 09:37:09,3.013s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,15-04-2024 09:37:09,15-04-2024 09:37:12,2.747s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/tab_job""))",Chrome 123.0.0.0,,,15-04-2024 09:37:12,15-04-2024 09:37:14,2.405s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/select_jobTitles""))",Chrome 123.0.0.0,,,15-04-2024 09:37:14,15-04-2024 09:37:16,2.162s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Job Titles"")",Chrome 123.0.0.0,,,15-04-2024 09:37:16,15-04-2024 09:37:17,1.001s,PASSED
delay(3),Chrome 123.0.0.0,,,15-04-2024 09:37:17,15-04-2024 09:37:20,3.013s,PASSED
