Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Qualifications_Skills,Chrome 123.0.0.0,,,05-04-2024 10:30:15,05-04-2024 10:30:58,43.018s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Qualifications_Skills,Chrome 123.0.0.0,,,05-04-2024 10:30:15,05-04-2024 10:30:58,42.827s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,05-04-2024 10:30:15,05-04-2024 10:30:44,28.657s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 10:30:44,05-04-2024 10:30:47,3.006s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,05-04-2024 10:30:47,05-04-2024 10:30:49,2.156s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Qualifications/tab_qualifications""))",Chrome 123.0.0.0,,,05-04-2024 10:30:49,05-04-2024 10:30:51,2.390s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Qualifications/select_skills""))",Chrome 123.0.0.0,,,05-04-2024 10:30:51,05-04-2024 10:30:53,1.982s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Skills"")",Chrome 123.0.0.0,,,05-04-2024 10:30:53,05-04-2024 10:30:55,1.326s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 10:30:55,05-04-2024 10:30:58,3.007s,PASSED
