Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Job_JobTitles,Chrome 123.0.0.0,,,05-04-2024 10:38:52,05-04-2024 10:39:34,42.633s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Job_JobTitles,Chrome 123.0.0.0,,,05-04-2024 10:38:52,05-04-2024 10:39:34,42.444s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,05-04-2024 10:38:52,05-04-2024 10:39:19,26.976s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 10:39:19,05-04-2024 10:39:22,3.013s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,05-04-2024 10:39:22,05-04-2024 10:39:24,2.136s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/tab_job""))",Chrome 123.0.0.0,,,05-04-2024 10:39:24,05-04-2024 10:39:27,2.342s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/select_jobTitles""))",Chrome 123.0.0.0,,,05-04-2024 10:39:27,05-04-2024 10:39:30,3.259s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Job Titles"")",Chrome 123.0.0.0,,,05-04-2024 10:39:30,05-04-2024 10:39:31,1.405s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 10:39:31,05-04-2024 10:39:34,3.006s,PASSED
