Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Qualifications_Education,Chrome 123.0.0.0,,,15-04-2024 14:59:43,15-04-2024 15:01:12,1m - 29.026s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Qualifications_Education,Chrome 123.0.0.0,,,15-04-2024 14:59:43,15-04-2024 15:01:12,1m - 28.737s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,15-04-2024 14:59:44,15-04-2024 15:00:56,1m - 11.672s,PASSED
delay(3),Chrome 123.0.0.0,,,15-04-2024 15:00:56,15-04-2024 15:00:59,3.033s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,15-04-2024 15:00:59,15-04-2024 15:01:02,3.211s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Qualifications/tab_qualifications""))",Chrome 123.0.0.0,,,15-04-2024 15:01:02,15-04-2024 15:01:05,3.168s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Qualifications/select_education""))",Chrome 123.0.0.0,,,15-04-2024 15:01:05,15-04-2024 15:01:07,2.163s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Education"")",Chrome 123.0.0.0,,,15-04-2024 15:01:07,15-04-2024 15:01:09,1.600s,PASSED
delay(3),Chrome 123.0.0.0,,,15-04-2024 15:01:09,15-04-2024 15:01:12,3.016s,PASSED
