Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Job_JobTitles,Chrome 123.0.0.0,,,04-04-2024 16:06:34,04-04-2024 16:07:16,41.132s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Job_JobTitles,Chrome 123.0.0.0,,,04-04-2024 16:06:35,04-04-2024 16:07:16,40.946s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,04-04-2024 16:06:35,04-04-2024 16:07:02,26.616s,PASSED
delay(3),Chrome 123.0.0.0,,,04-04-2024 16:07:02,04-04-2024 16:07:05,3.015s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,04-04-2024 16:07:05,04-04-2024 16:07:07,2.195s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/tab_job""))",Chrome 123.0.0.0,,,04-04-2024 16:07:07,04-04-2024 16:07:09,2.378s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/select_jobTitles""))",Chrome 123.0.0.0,,,04-04-2024 16:07:09,04-04-2024 16:07:11,2.000s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Job Titles"")",Chrome 123.0.0.0,,,04-04-2024 16:07:11,04-04-2024 16:07:13,1.373s,PASSED
delay(3),Chrome 123.0.0.0,,,04-04-2024 16:07:13,04-04-2024 16:07:16,3.009s,PASSED
