Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_CorporateBranding,Chrome 123.0.0.0,,,15-04-2024 13:58:52,15-04-2024 14:01:28,2m - 36.318s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_CorporateBranding,Chrome 123.0.0.0,,,15-04-2024 14:00:46,15-04-2024 14:01:28,42.482s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,15-04-2024 14:00:46,15-04-2024 14:01:15,29.680s,PASSED
delay(3),Chrome 123.0.0.0,,,15-04-2024 14:01:15,15-04-2024 14:01:18,3.011s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,15-04-2024 14:01:18,15-04-2024 14:01:20,2.163s,PASSED
"click(findTestObject(""F_Menu_Admin/F_CorporateBranding/tab_corporateBranding""))",Chrome 123.0.0.0,,,15-04-2024 14:01:20,15-04-2024 14:01:24,3.199s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Corporate Branding"")",Chrome 123.0.0.0,,,15-04-2024 14:01:24,15-04-2024 14:01:25,1.385s,PASSED
delay(3),Chrome 123.0.0.0,,,15-04-2024 14:01:25,15-04-2024 14:01:28,3.013s,PASSED
