Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Qualifications_Skills,Chrome 123.0.0.0,,,15-04-2024 15:00:57,15-04-2024 15:02:22,1m - 24.735s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Qualifications_Skills,Chrome 123.0.0.0,,,15-04-2024 15:00:58,15-04-2024 15:02:22,1m - 24.341s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,15-04-2024 15:00:58,15-04-2024 15:02:07,1m - 9.025s,PASSED
delay(3),Chrome 123.0.0.0,,,15-04-2024 15:02:07,15-04-2024 15:02:10,3.018s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,15-04-2024 15:02:10,15-04-2024 15:02:13,2.526s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Qualifications/tab_qualifications""))",Chrome 123.0.0.0,,,15-04-2024 15:02:13,15-04-2024 15:02:15,2.486s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Qualifications/select_skills""))",Chrome 123.0.0.0,,,15-04-2024 15:02:15,15-04-2024 15:02:18,2.069s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Skills"")",Chrome 123.0.0.0,,,15-04-2024 15:02:18,15-04-2024 15:02:19,1.397s,PASSED
delay(3),Chrome 123.0.0.0,,,15-04-2024 15:02:19,15-04-2024 15:02:22,3.010s,PASSED
