Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Job_WorkShifts,Chrome 123.0.0.0,,,15-04-2024 13:35:37,15-04-2024 13:37:07,1m - 29.190s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Job_WorkShifts,Chrome 123.0.0.0,,,15-04-2024 13:35:38,15-04-2024 13:37:07,1m - 28.542s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,15-04-2024 13:35:39,15-04-2024 13:36:50,1m - 11.466s,PASSED
delay(3),Chrome 123.0.0.0,,,15-04-2024 13:36:50,15-04-2024 13:36:53,3.012s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,15-04-2024 13:36:53,15-04-2024 13:36:57,3.309s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/tab_job""))",Chrome 123.0.0.0,,,15-04-2024 13:36:57,15-04-2024 13:37:00,3.294s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/select_workShifts""))",Chrome 123.0.0.0,,,15-04-2024 13:37:00,15-04-2024 13:37:02,2.016s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Work Shifts"")",Chrome 123.0.0.0,,,15-04-2024 13:37:02,15-04-2024 13:37:04,1.403s,PASSED
delay(3),Chrome 123.0.0.0,,,15-04-2024 13:37:04,15-04-2024 13:37:07,3.005s,PASSED
