Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Job_JobTitles,Chrome 123.0.0.0,,,13-04-2024 18:43:48,13-04-2024 18:46:54,3m - 6.283s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Job_JobTitles,Chrome 123.0.0.0,,,13-04-2024 18:45:41,13-04-2024 18:46:54,1m - 13.662s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,13-04-2024 18:45:41,13-04-2024 18:46:39,58.427s,PASSED
delay(3),Chrome 123.0.0.0,,,13-04-2024 18:46:39,13-04-2024 18:46:42,3.011s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,13-04-2024 18:46:42,13-04-2024 18:46:45,2.632s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/tab_job""))",Chrome 123.0.0.0,,,13-04-2024 18:46:45,13-04-2024 18:46:47,2.628s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/select_jobTitles""))",Chrome 123.0.0.0,,,13-04-2024 18:46:47,13-04-2024 18:46:50,2.259s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Job Titles"")",Chrome 123.0.0.0,,,13-04-2024 18:46:50,13-04-2024 18:46:51,1.639s,PASSED
delay(3),Chrome 123.0.0.0,,,13-04-2024 18:46:51,13-04-2024 18:46:54,3.010s,PASSED
