Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_UserManagement,Chrome 123.0.0.0,,,05-04-2024 11:18:50,05-04-2024 11:19:38,48.750s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Admin_User,Chrome 123.0.0.0,,,05-04-2024 11:18:50,05-04-2024 11:19:38,48.444s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,05-04-2024 11:18:50,05-04-2024 11:19:24,33.575s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 11:19:24,05-04-2024 11:19:27,3.010s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,05-04-2024 11:19:27,05-04-2024 11:19:29,2.513s,PASSED
"click(findTestObject(""F_Menu_Admin/F_UserManagement/tab_userManagement""))",Chrome 123.0.0.0,,,05-04-2024 11:19:29,05-04-2024 11:19:32,2.451s,PASSED
"click(findTestObject(""F_Menu_Admin/F_UserManagement/select_users""))",Chrome 123.0.0.0,,,05-04-2024 11:19:32,05-04-2024 11:19:34,2.021s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menuWithFilter""), ""System Users"")",Chrome 123.0.0.0,,,05-04-2024 11:19:34,05-04-2024 11:19:35,1.394s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 11:19:35,05-04-2024 11:19:38,3.013s,PASSED
