Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Job_JobCategories,Chrome 123.0.6312.88,,,04-04-2024 16:30:33,04-04-2024 16:31:45,1m - 11.277s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Job_JobCategories,Chrome 123.0.6312.88,,,04-04-2024 16:30:33,04-04-2024 16:31:45,1m - 11.074s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.6312.88,,,04-04-2024 16:30:34,04-04-2024 16:31:33,59.024s,PASSED
delay(3),Chrome 123.0.6312.88,,,04-04-2024 16:31:33,04-04-2024 16:31:36,3.018s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.6312.88,,,04-04-2024 16:31:36,04-04-2024 16:31:38,2.210s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/tab_job""))",Chrome 123.0.6312.88,,,04-04-2024 16:31:38,04-04-2024 16:31:40,1.548s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/select_jobCategories""))",Chrome 123.0.6312.88,,,04-04-2024 16:31:40,04-04-2024 16:31:41,1.556s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Job Categories"")",Chrome 123.0.6312.88,,,04-04-2024 16:31:41,04-04-2024 16:31:42,0.431s,PASSED
delay(3),Chrome 123.0.6312.88,,,04-04-2024 16:31:42,04-04-2024 16:31:45,3.008s,PASSED
