Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Job_JobCategories,Chrome 123.0.0.0,,,13-04-2024 18:44:03,13-04-2024 18:45:35,1m - 31.933s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Job_JobCategories,Chrome 123.0.0.0,,,13-04-2024 18:44:04,13-04-2024 18:45:35,1m - 30.917s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,13-04-2024 18:44:05,13-04-2024 18:45:21,1m - 15.577s,PASSED
delay(3),Chrome 123.0.0.0,,,13-04-2024 18:45:21,13-04-2024 18:45:24,3.014s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,13-04-2024 18:45:24,13-04-2024 18:45:27,2.592s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/tab_job""))",Chrome 123.0.0.0,,,13-04-2024 18:45:27,13-04-2024 18:45:28,1.649s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/select_jobCategories""))",Chrome 123.0.0.0,,,13-04-2024 18:45:28,13-04-2024 18:45:30,2.122s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Job Categories"")",Chrome 123.0.0.0,,,13-04-2024 18:45:30,13-04-2024 18:45:32,1.590s,PASSED
delay(3),Chrome 123.0.0.0,,,13-04-2024 18:45:32,13-04-2024 18:45:35,3.014s,PASSED
