Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Job_PayGrades,Chrome 123.0.0.0,,,15-04-2024 09:35:48,15-04-2024 09:36:57,1m - 8.875s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Job_PayGrades,Chrome 123.0.0.0,,,15-04-2024 09:35:49,15-04-2024 09:36:57,1m - 8.265s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,15-04-2024 09:35:50,15-04-2024 09:36:39,48.941s,PASSED
delay(3),Chrome 123.0.0.0,,,15-04-2024 09:36:39,15-04-2024 09:36:42,3.297s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,15-04-2024 09:36:42,15-04-2024 09:36:47,4.913s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/tab_job""))",Chrome 123.0.0.0,,,15-04-2024 09:36:47,15-04-2024 09:36:50,2.847s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/select_payGrades""))",Chrome 123.0.0.0,,,15-04-2024 09:36:50,15-04-2024 09:36:52,2.776s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Pay Grades"")",Chrome 123.0.0.0,,,15-04-2024 09:36:52,15-04-2024 09:36:54,1.636s,PASSED
delay(3),Chrome 123.0.0.0,,,15-04-2024 09:36:54,15-04-2024 09:36:57,3.033s,PASSED
